-3.1415927 | -3.1415927 | -3.1415927 | -3.1415927
-2.9919930 | -2.9919930 | -2.9919930 | -2.9919930
-2.8423934 | -2.8423934 | -2.8423934 | -2.8423934
-2.6927937 | -2.6927937 | -2.6927937 | -2.6927937
-2.5431941 | -2.5431941 | -2.5431941 | -2.5431941
-2.3935944 | -2.3935944 | -2.3935944 | -2.3935944
-2.2439948 | -2.2439948 | -2.2439948 | -2.2439948
-2.0943951 | -2.0943951 | -2.0943951 | -2.0943951
-1.9447955 | -1.9447955 | -1.9447955 | -1.9447955
-1.7951958 | -1.7951958 | -1.7951958 | -1.7951958
-1.6455962 | -1.6455962 | -1.6455962 | -1.6455962
-1.4959965 | -1.4959965 | -1.4959965 | -1.4959965
-1.3463969 | -1.3463969 | -1.3463969 | -1.3463969
-1.1967972 | -1.1967972 | -1.1967972 | -1.1967972
-1.0471976 | -1.0471976 | -1.0471976 | -1.0471976
-0.8975979 | -0.8975979 | -0.8975979 | -0.8975979
-0.7479983 | -0.7479983 | -0.7479983 | -0.7479983
-0.5983986 | -0.5983986 | -0.5983986 | -0.5983986
-0.4487990 | -0.4487990 | -0.4487990 | -0.4487990
-0.2991993 | -0.2991993 | -0.2991993 | -0.2991993
-0.1495997 | -0.1495997 | -0.1495997 | -0.1495997
0.0000000 | 0.0000000 | - | 0.0000000
0.1495997 | 0.1495997 | 0.1495997 | 0.1495997
0.2991993 | 0.2991993 | 0.2991993 | 0.2991993
0.4487990 | 0.4487990 | 0.4487990 | 0.4487990
0.5983986 | 0.5983986 | 0.5983986 | 0.5983986
0.7479983 | 0.7479983 | 0.7479983 | 0.7479983
0.8975979 | 0.8975979 | 0.8975979 | 0.8975979
1.0471976 | 1.0471976 | 1.0471976 | 1.0471976
1.1967972 | 1.1967972 | 1.1967972 | 1.1967972
1.3463969 | 1.3463969 | 1.3463969 | 1.3463969
1.4959965 | 1.4959965 | 1.4959965 | 1.4959965
1.6455962 | 1.6455962 | 1.6455962 | 1.6455962
1.7951958 | 1.7951958 | 1.7951958 | 1.7951958
1.9447955 | 1.9447955 | 1.9447955 | 1.9447955
2.0943951 | 2.0943951 | 2.0943951 | 2.0943951
2.2439948 | 2.2439948 | 2.2439948 | 2.2439948
2.3935944 | 2.3935944 | 2.3935944 | 2.3935944
2.5431941 | 2.5431941 | 2.5431941 | 2.5431941
2.6927937 | 2.6927937 | 2.6927937 | 2.6927937
2.8423934 | 2.8423934 | 2.8423934 | 2.8423934
2.9919930 | 2.9919930 | 2.9919930 | 2.9919930
